modelo,k_opt,ganancia_max,thr_opt,timestamp
train_model_lgb_optimization_top_1_seed_151515_experimento_lgb_optimization_exp1,10076,348060000.0,0.0015169648848069497,2025-10-29 01:42:32
train_model_lgb_optimization_top_1_seed_155555_experimento_lgb_optimization_exp1,10479,348000000.0,0.0013490326996595072,2025-10-29 01:42:36
train_model_lgb_optimization_top_1_seed_515151_experimento_lgb_optimization_exp1,11275,344880000.0,0.0010591807752979797,2025-10-29 01:42:39
train_model_lgb_optimization_top_1_seed_551155_experimento_lgb_optimization_exp1,8764,350300000.0,0.002185381374747833,2025-10-29 01:42:42
train_model_lgb_optimization_top_1_seed_555555_experimento_lgb_optimization_exp1,9828,339420000.0,0.0016596170567149235,2025-10-29 01:42:45
train_model_lgb_optimization_top_2_seed_151515_experimento_lgb_optimization_exp1,10447,346240000.0,0.0008429347742084115,2025-10-29 01:42:48
train_model_lgb_optimization_top_2_seed_155555_experimento_lgb_optimization_exp1,9694,350100000.0,0.0010825394811970212,2025-10-29 01:42:51
train_model_lgb_optimization_top_2_seed_515151_experimento_lgb_optimization_exp1,11353,344920000.0,0.0006430075813382792,2025-10-29 01:42:53
train_model_lgb_optimization_top_2_seed_551155_experimento_lgb_optimization_exp1,11715,352880000.0,0.0006010024562454881,2025-10-29 01:42:56
train_model_lgb_optimization_top_2_seed_555555_experimento_lgb_optimization_exp1,9216,354860000.0,0.0012995355906664835,2025-10-29 01:42:59
train_model_lgb_optimization_top_3_seed_151515_experimento_lgb_optimization_exp1,12677,323240000.0,1.1050789418368573e-06,2025-10-29 01:43:04
train_model_lgb_optimization_top_3_seed_155555_experimento_lgb_optimization_exp1,9801,316760000.0,2.161170760982133e-06,2025-10-29 01:43:09
train_model_lgb_optimization_top_3_seed_515151_experimento_lgb_optimization_exp1,10803,317520000.0,1.6405174441946742e-06,2025-10-29 01:43:13
train_model_lgb_optimization_top_3_seed_551155_experimento_lgb_optimization_exp1,12536,320460000.0,1.1101786687690164e-06,2025-10-29 01:43:18
train_model_lgb_optimization_top_3_seed_555555_experimento_lgb_optimization_exp1,8091,320560000.0,3.847606621760238e-06,2025-10-29 01:43:23
train_model_lgb_optimization_top_4_seed_151515_experimento_lgb_optimization_exp1,10055,326080000.0,1.3825563387689174e-06,2025-10-29 01:43:27
train_model_lgb_optimization_top_4_seed_155555_experimento_lgb_optimization_exp1,11208,326220000.0,1.0244044829116582e-06,2025-10-29 01:43:32
train_model_lgb_optimization_top_4_seed_515151_experimento_lgb_optimization_exp1,8808,320620000.0,2.094180587357792e-06,2025-10-29 01:43:35
train_model_lgb_optimization_top_4_seed_551155_experimento_lgb_optimization_exp1,9447,322240000.0,1.6854511670167388e-06,2025-10-29 01:43:40
train_model_lgb_optimization_top_4_seed_555555_experimento_lgb_optimization_exp1,9259,304400000.0,1.8322413001114817e-06,2025-10-29 01:43:44
train_model_lgb_optimization_top_5_seed_151515_experimento_lgb_optimization_exp1,10533,357320000.0,0.009535927909130057,2025-10-29 01:43:46
train_model_lgb_optimization_top_5_seed_155555_experimento_lgb_optimization_exp1,9716,350460000.0,0.011708562750323814,2025-10-29 01:43:48
train_model_lgb_optimization_top_5_seed_515151_experimento_lgb_optimization_exp1,12261,357160000.0,0.006873933796161836,2025-10-29 01:43:50
train_model_lgb_optimization_top_5_seed_551155_experimento_lgb_optimization_exp1,10854,362100000.0,0.008845562251128055,2025-10-29 01:43:52
train_model_lgb_optimization_top_5_seed_555555_experimento_lgb_optimization_exp1,8684,355100000.0,0.013826522781189177,2025-10-29 01:43:55
