top_rank,trial_number,trial_value,best_iter,seed,model_path,params
1,43,613580000.0,393,155555,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_1_seed_155555_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1601, ""learning_rate"": 0.11495097346374321, ""min_data_in_leaf"": 1245, ""feature_fraction"": 0.37760779557357443, ""bagging_fraction"": 0.8191411865432328, ""lambda_1"": 2.9307791669108645, ""lambda_2"": 8.228294363896113, ""seed"": 155555}"
1,43,613580000.0,393,151515,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_1_seed_151515_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1601, ""learning_rate"": 0.11495097346374321, ""min_data_in_leaf"": 1245, ""feature_fraction"": 0.37760779557357443, ""bagging_fraction"": 0.8191411865432328, ""lambda_1"": 2.9307791669108645, ""lambda_2"": 8.228294363896113, ""seed"": 151515}"
1,43,613580000.0,393,515151,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_1_seed_515151_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1601, ""learning_rate"": 0.11495097346374321, ""min_data_in_leaf"": 1245, ""feature_fraction"": 0.37760779557357443, ""bagging_fraction"": 0.8191411865432328, ""lambda_1"": 2.9307791669108645, ""lambda_2"": 8.228294363896113, ""seed"": 515151}"
1,43,613580000.0,393,555555,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_1_seed_555555_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1601, ""learning_rate"": 0.11495097346374321, ""min_data_in_leaf"": 1245, ""feature_fraction"": 0.37760779557357443, ""bagging_fraction"": 0.8191411865432328, ""lambda_1"": 2.9307791669108645, ""lambda_2"": 8.228294363896113, ""seed"": 555555}"
1,43,613580000.0,393,551155,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_1_seed_551155_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1601, ""learning_rate"": 0.11495097346374321, ""min_data_in_leaf"": 1245, ""feature_fraction"": 0.37760779557357443, ""bagging_fraction"": 0.8191411865432328, ""lambda_1"": 2.9307791669108645, ""lambda_2"": 8.228294363896113, ""seed"": 551155}"
2,32,613420000.0,268,155555,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_2_seed_155555_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 2306, ""learning_rate"": 0.1364058234697248, ""min_data_in_leaf"": 712, ""feature_fraction"": 0.18811938292359687, ""bagging_fraction"": 0.8130127756217224, ""lambda_1"": 0.6851827021042488, ""lambda_2"": 8.248517368606425, ""seed"": 155555}"
2,32,613420000.0,268,555555,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_2_seed_555555_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 2306, ""learning_rate"": 0.1364058234697248, ""min_data_in_leaf"": 712, ""feature_fraction"": 0.18811938292359687, ""bagging_fraction"": 0.8130127756217224, ""lambda_1"": 0.6851827021042488, ""lambda_2"": 8.248517368606425, ""seed"": 555555}"
2,32,613420000.0,268,551155,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_2_seed_551155_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 2306, ""learning_rate"": 0.1364058234697248, ""min_data_in_leaf"": 712, ""feature_fraction"": 0.18811938292359687, ""bagging_fraction"": 0.8130127756217224, ""lambda_1"": 0.6851827021042488, ""lambda_2"": 8.248517368606425, ""seed"": 551155}"
2,32,613420000.0,268,515151,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_2_seed_515151_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 2306, ""learning_rate"": 0.1364058234697248, ""min_data_in_leaf"": 712, ""feature_fraction"": 0.18811938292359687, ""bagging_fraction"": 0.8130127756217224, ""lambda_1"": 0.6851827021042488, ""lambda_2"": 8.248517368606425, ""seed"": 515151}"
2,32,613420000.0,268,151515,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_2_seed_151515_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 2306, ""learning_rate"": 0.1364058234697248, ""min_data_in_leaf"": 712, ""feature_fraction"": 0.18811938292359687, ""bagging_fraction"": 0.8130127756217224, ""lambda_1"": 0.6851827021042488, ""lambda_2"": 8.248517368606425, ""seed"": 151515}"
3,34,612940000.0,396,155555,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_3_seed_155555_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1868, ""learning_rate"": 0.13346802850507763, ""min_data_in_leaf"": 113, ""feature_fraction"": 0.1778005939009787, ""bagging_fraction"": 0.8825190707439311, ""lambda_1"": 2.282599484455034, ""lambda_2"": 6.7593236678325255, ""seed"": 155555}"
3,34,612940000.0,396,555555,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_3_seed_555555_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1868, ""learning_rate"": 0.13346802850507763, ""min_data_in_leaf"": 113, ""feature_fraction"": 0.1778005939009787, ""bagging_fraction"": 0.8825190707439311, ""lambda_1"": 2.282599484455034, ""lambda_2"": 6.7593236678325255, ""seed"": 555555}"
3,34,612940000.0,396,551155,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_3_seed_551155_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1868, ""learning_rate"": 0.13346802850507763, ""min_data_in_leaf"": 113, ""feature_fraction"": 0.1778005939009787, ""bagging_fraction"": 0.8825190707439311, ""lambda_1"": 2.282599484455034, ""lambda_2"": 6.7593236678325255, ""seed"": 551155}"
3,34,612940000.0,396,515151,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_3_seed_515151_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1868, ""learning_rate"": 0.13346802850507763, ""min_data_in_leaf"": 113, ""feature_fraction"": 0.1778005939009787, ""bagging_fraction"": 0.8825190707439311, ""lambda_1"": 2.282599484455034, ""lambda_2"": 6.7593236678325255, ""seed"": 515151}"
3,34,612940000.0,396,151515,/home/joacosk/Documents/maestria/Q2/script_project/src/models/lgb_optimization_exp1/train_model_lgb_optimization_top_3_seed_151515_experimento_lgb_optimization_exp1.txt,"{""objective"": ""binary"", ""boosting_type"": ""gbdt"", ""feature_pre_filter"": false, ""metric"": ""None"", ""max_bin"": 31, ""verbosity"": -1, ""n_jobs"": -1, ""num_leaves"": 1868, ""learning_rate"": 0.13346802850507763, ""min_data_in_leaf"": 113, ""feature_fraction"": 0.1778005939009787, ""bagging_fraction"": 0.8825190707439311, ""lambda_1"": 2.282599484455034, ""lambda_2"": 6.7593236678325255, ""seed"": 151515}"
